Date,Open,High,Low,Close,,,,,,
2/05/2006,"5,312.00","5,313.60","5,265.10","5,273.10",,,,,,
1/05/2006,"5,273.80","5,315.70","5,258.80","5,310.40",,,,,,
28/04/2006,"5,282.00","5,300.20","5,246.60","5,258.80",,,,,,
27/04/2006,"5,320.40","5,336.60","5,300.20","5,300.20",,,,,,
26/04/2006,"5,265.90","5,335.30","5,263.70","5,327.20",,,,,,
24/04/2006,"5,251.70","5,290.50","5,250.10","5,269.80",,,,,,
21/04/2006,"5,277.10","5,277.10","5,241.00","5,250.10",,,,,,
20/04/2006,"5,282.50","5,285.90","5,243.90","5,276.90",,,,,,
19/04/2006,"5,270.10","5,301.80","5,248.60","5,283.90",,,,,,
18/04/2006,"5,188.90","5,250.00","5,175.70","5,248.60",,,,,,
13/04/2006,"5,183.80","5,206.70","5,158.90","5,175.70",,,,,,
12/04/2006,"5,220.80","5,233.50","5,173.80","5,183.70",,,,,,
11/04/2006,"5,192.50","5,239.80","5,192.30","5,233.50",,,,,,
10/04/2006,"5,227.60","5,232.90","5,180.40","5,192.30",,,,,,
7/04/2006,"5,239.70","5,242.50","5,224.30","5,232.90",,,,,,
6/04/2006,"5,215.80","5,248.80","5,207.00","5,238.90",,,,,,
5/04/2006,"5,165.60","5,207.00","5,158.90","5,207.00",,,,,,
4/04/2006,"5,194.30","5,217.50","5,162.50","5,162.50",,,,,,
3/04/2006,"5,127.60","5,180.50","5,122.10","5,180.50",,,,,,
31/03/2006,"5,128.10","5,139.50","5,108.50","5,129.70",,,,,,
30/03/2006,"5,091.50","5,121.60","5,090.50","5,115.00",,,,,,
29/03/2006,"5,079.00","5,098.30","5,064.20","5,090.50",,,,,,
28/03/2006,"5,085.90","5,104.50","5,070.10","5,085.80",,,,,,
27/03/2006,"5,088.10","5,088.10","5,040.10","5,088.10",,,,,,
24/03/2006,"5,040.10","5,051.90","5,032.00","5,040.10",,,,,,
23/03/2006,"5,035.30","5,042.10","5,013.40","5,035.30",,,,,,
22/03/2006,"5,013.40","5,031.10","4,977.60","5,013.40",,,,,,
21/03/2006,"4,991.30","5,003.10","4,985.00","4,991.30",,,,,,
20/03/2006,"5,000.40","5,005.90","4,971.70","5,000.40",,,,,,
17/03/2006,"4,971.70","4,997.80","4,970.00","4,971.70",,,,,,
16/03/2006,"4,977.90","4,988.30","4,946.30","4,977.90",,,,,,
15/03/2006,"4,946.30","4,963.40","4,932.20","4,946.30",,,,,,
14/03/2006,"4,932.20","4,961.30","4,932.20","4,932.20",,,,,,
13/03/2006,"4,951.30","4,951.30","4,888.10","4,951.30",,,,,,
10/03/2006,"4,888.10","4,900.80","4,886.00","4,888.10",,,,,,
9/03/2006,"4,894.40","4,897.80","4,852.60","4,894.40",,,,,,
8/03/2006,"4,873.00","4,879.70","4,844.80","4,873.00",,,,,,
7/03/2006,"4,879.70","4,903.90","4,857.10","4,879.70",,,,,,
6/03/2006,"4,903.90","4,904.80","4,869.50","4,903.90",,,,,,
3/03/2006,"4,898.50","4,939.50","4,897.60","4,898.50",,,,,,
2/03/2006,"4,903.80","4,907.30","4,849.10","4,903.80",,,,,,
1/03/2006,"4,850.60","4,921.30","4,850.60","4,850.60",,,,,,
28/02/2006,"4,921.30","4,927.20","4,900.40","4,921.30",,,,,,
27/02/2006,"4,924.10","4,924.10","4,891.50","4,924.10",,,,,,
24/02/2006,"4,893.40","4,913.20","4,880.70","4,893.40",,,,,,
23/02/2006,"4,913.20","4,929.20","4,886.70","4,913.20",,,,,,
22/02/2006,"4,886.70","4,901.60","4,877.10","4,886.70",,,,,,
21/02/2006,"4,879.10","4,879.10","4,835.50","4,879.10",,,,,,
20/02/2006,"4,835.50","4,835.50","4,799.90","4,835.50",,,,,,
17/02/2006,"4,799.90","4,845.50","4,796.60","4,799.90",,,,,,
16/02/2006,"4,820.60","4,835.00","4,790.80","4,820.60",,,,,,
15/02/2006,"4,835.00","4,895.60","4,834.70","4,835.00",,,,,,
14/02/2006,"4,864.20","4,864.20","4,814.90","4,864.20",,,,,,
13/02/2006,"4,817.10","4,871.50","4,811.50","4,817.10",,,,,,
10/02/2006,"4,871.50","4,911.50","4,868.50","4,871.50",,,,,,
9/02/2006,"4,877.60","4,877.60","4,831.40","4,877.60",,,,,,
8/02/2006,"4,831.40","4,905.40","4,824.90","4,831.40",,,,,,
7/02/2006,"4,905.40","4,923.70","4,890.70","4,905.40",,,,,,
6/02/2006,"4,915.60","4,915.60","4,866.90","4,915.60",,,,,,
3/02/2006,"4,883.80","4,905.10","4,844.90","4,883.80",,,,,,
2/02/2006,"4,905.10","4,982.60","4,905.10","4,905.10",,,,,,
1/02/2006,"4,956.70","4,956.70","4,929.60","4,956.70",,,,,,
31/01/2006,"4,929.60","4,964.10","4,926.70","4,929.60",,,,,,
30/01/2006,"4,943.40","4,947.90","4,919.30","4,943.40",,,,,,
27/01/2006,"4,919.30","4,923.10","4,861.40","4,919.30",,,,,,
25/01/2006,"4,861.40","4,869.10","4,824.70","4,861.40",,,,,,
24/01/2006,"4,824.80","4,827.20","4,804.20","4,824.80",,,,,,
23/01/2006,"4,812.10","4,854.40","4,773.00","4,812.10",,,,,,
20/01/2006,"4,854.40","4,864.30","4,840.90","4,854.40",,,,,,
19/01/2006,"4,840.90","4,840.90","4,778.00","4,840.90",,,,,,
18/01/2006,"4,786.90","4,869.30","4,786.70","4,786.90",,,,,,
17/01/2006,"4,866.10","4,868.40","4,835.80","4,866.10",,,,,,
16/01/2006,"4,836.40","4,857.80","4,829.70","4,836.40",,,,,,
13/01/2006,"4,836.70","4,838.90","4,818.60","4,836.70",,,,,,
12/01/2006,"4,836.90","4,857.80","4,827.50","4,836.90",,,,,,
11/01/2006,"4,838.10","4,848.30","4,814.40","4,838.10",,,,,,
10/01/2006,"4,816.70","4,837.80","4,804.70","4,816.70",,,,,,
9/01/2006,"4,831.50","4,834.80","4,791.10","4,831.50",,,,,,
6/01/2006,"4,791.10","4,813.70","4,784.80","4,791.10",,,,,,
5/01/2006,"4,813.70","4,831.00","4,807.30","4,813.70",,,,,,
4/01/2006,"4,820.30","4,823.40","4,776.00","4,820.30",,,,,,
3/01/2006,"4,776.00","4,782.70","4,751.10","4,776.00",,,,,,
31/12/2007,"6,339.90","6,355.70","6,318.20","6,339.80",,,,,,
28/12/2007,"6,350.90","6,350.90","6,294.80","6,339.90",,,,,,
27/12/2007,"6,323.60","6,366.50","6,323.60","6,350.90",,,,,,
24/12/2007,"6,247.00","6,344.40","6,247.00","6,323.60",,,,,,
21/12/2007,"6,176.90","6,285.60","6,176.90","6,247.00",,,,,,
20/12/2007,"6,216.40","6,236.80","6,176.90","6,176.90",,,,,,
19/12/2007,"6,236.90","6,266.90","6,192.70","6,216.40",,,,,,
18/12/2007,"6,263.50","6,263.50","6,105.10","6,236.90",,,,,,
17/12/2007,"6,491.70","6,491.70","6,263.50","6,263.50",,,,,,
14/12/2007,"6,597.60","6,597.60","6,466.70","6,491.70",,,,,,
13/12/2007,"6,615.20","6,645.40","6,556.70","6,597.60",,,,,,
12/12/2007,"6,680.40","6,680.40","6,579.90","6,615.20",,,,,,
11/12/2007,"6,625.10","6,684.40","6,625.10","6,680.40",,,,,,
10/12/2007,"6,654.70","6,659.30","6,608.90","6,625.10",,,,,,
7/12/2007,"6,600.90","6,671.40","6,600.90","6,654.70",,,,,,
6/12/2007,"6,508.10","6,618.70","6,508.10","6,600.90",,,,,,
5/12/2007,"6,530.80","6,530.80","6,482.00","6,508.10",,,,,,
4/12/2007,"6,533.50","6,538.00","6,500.40","6,530.80",,,,,,
3/12/2007,"6,533.10","6,562.70","6,521.10","6,533.50",,,,,,
30/11/2007,"6,444.50","6,552.90","6,436.70","6,533.10",,,,,,
29/11/2007,"6,370.10","6,481.70","6,370.10","6,444.50",,,,,,
28/11/2007,"6,432.70","6,433.20","6,346.40","6,370.10",,,,,,
27/11/2007,"6,471.40","6,471.40","6,349.40","6,432.70",,,,,,
26/11/2007,"6,330.20","6,482.80","6,330.20","6,471.40",,,,,,
23/11/2007,"6,334.30","6,344.40","6,312.70","6,330.20",,,,,,
22/11/2007,"6,384.30","6,384.30","6,312.60","6,334.30",,,,,,
21/11/2007,"6,425.40","6,438.20","6,355.70","6,384.30",,,,,,
20/11/2007,"6,425.40","6,535.20","6,394.10","6,425.40",,,,,,
19/11/2007,"6,461.90","6,551.90","6,461.90","6,535.20",,,,,,
16/11/2007,"6,528.60","6,528.60","6,449.90","6,461.90",,,,,,
15/11/2007,"6,598.60","6,616.50","6,528.60","6,528.60",,,,,,
14/11/2007,"6,515.20","6,608.20","6,515.20","6,598.60",,,,,,
13/11/2007,"6,455.30","6,520.40","6,437.30","6,515.20",,,,,,
12/11/2007,"6,545.70","6,555.20","6,445.10","6,455.30",,,,,,
9/11/2007,"6,521.60","6,605.10","6,520.10","6,545.70",,,,,,
8/11/2007,"6,692.40","6,692.40","6,488.50","6,521.60",,,,,,
7/11/2007,"6,628.00","6,701.20","6,628.00","6,692.40",,,,,,
6/11/2007,"6,582.30","6,657.80","6,578.60","6,628.00",,,,,,
5/11/2007,"6,696.60","6,710.20","6,560.40","6,582.30",,,,,,
2/11/2007,"6,828.70","6,828.70","6,674.70","6,696.60",,,,,,
1/11/2007,"6,754.10","6,851.50","6,754.10","6,828.70",,,,,,
31/10/2007,"6,750.20","6,775.80","6,710.80","6,754.10",,,,,,
30/10/2007,"6,792.10","6,794.50","6,746.60","6,750.20",,,,,,
